,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13
Active Duty,0.9953635324866993,0.9999133070867217,0.9999999999915709,0.999999999999273,0.9999999999999816,0.9999999999999991,0.9999999999999994,0.9999999999999996,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0013538233675592,1.0014996342108344
Full-Time (est) Guard+Reserve,0.12150109916858406,0.2708944326317522,0.9999998835439905,0.999999997564983,0.9999999999096585,0.9999999999975469,0.9999999999977354,0.9999999999983223,0.9999999999999125,0.9999999999999934,0.999999999999995,1.0743351065100364,1.1261735093658136
Selected Reserve FTE,0.09660849674583827,0.9887935755657562,0.9999999960067414,0.9999999999875334,0.9999999999990011,0.9999999999999746,0.9999999999999749,0.9999999999999856,1.0000000000000004,1.000000000000001,1.000000000000001,1.0047763195917407,1.0048129405215511
Total Military FTE,0.9931416319277213,0.9998945649827486,0.9999999999958653,0.99999999999959,0.9999999999999882,0.9999999999999994,0.9999999999999994,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.001419099582222,1.0014249958356378
Total Deaths,0.49144395798273294,0.5913988308080854,0.7641904980823989,0.997945958633622,0.9993706559473795,0.9998047173066744,0.999989888564721,0.9999905170318371,0.9999967328227336,0.9999998931009086,0.9999999999999937,1.0009583362688839,1.0016969753774219
Accident ,0.8227278742092737,0.8276159508692187,0.9562940725393316,0.9774898869602938,0.9936986102758731,0.9994426125299707,0.9999297748273734,0.9999848578584694,0.9999952375638684,0.9999998338401526,0.9999999999999115,1.0013397444236514,1.001494310398873
Hostile Action,0.19788330938174278,0.6388535730203019,0.6574325222490085,0.9550346779479625,0.9966469463263428,0.998233893223784,0.9999348080175327,0.9999626764782753,0.9999879983187806,0.9999993388507625,0.999999999999923,1.000292062310191,1.000748190238752
Homicide ,0.5881403126165179,0.613934419637253,0.7690922275521876,0.7744874545558987,0.7744933035509782,0.7935336567468498,0.8691777311979948,0.8906495664490099,0.9984355292667896,0.9999993288728102,1.0000000000010134,1.0019235449507766,1.0064274513055402
Illness ,0.7111742969651027,0.7218353316093151,0.8800596070092379,0.9495590010256283,0.9556180733367736,0.9577751191938565,0.966986770707858,0.9994978051220603,0.9994978053591046,0.9999970651315172,0.9999999999997505,1.000225139479825,1.0030586892661242
Pending ,0.12107358632343035,0.18853699436555726,0.20033359687549032,0.5152052173509066,0.5277168360316212,0.5546218850643877,0.7096790586123932,0.7121131174143049,0.7402439897962262,0.8308613875858586,1.000000000000514,1.0037861479093477,1.064026823110489
Self-Inflicted,0.3031054897085638,0.36595272676078916,0.3943404133688299,0.4514337074413717,0.4515966517105982,0.4828578085636351,0.9543718463831422,0.9774759334911356,0.9997498593638463,0.9998279595613201,1.0000000000003324,1.0016184125497265,1.0030121096561029
Terrorist Attack,0.03687925987839826,0.058114511262790824,0.06369828382285858,0.10123578424641586,0.24966342442351028,0.7716481960240358,0.9941905863134527,0.9977549049295481,0.9997068997073318,0.9999785508812643,1.0000000000000193,1.0004365773215456,1.0015291348359259
Undetermined ,0.0736027860170209,0.28679582908969253,0.4464878005188172,0.446493216263421,0.4486627471387753,0.4513310615177231,0.46197297315056113,0.5698576360826129,0.620307855761013,0.982365297555599,0.9999999999985923,1.0050371656076154,1.0344168683740678
